"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000127824",1255.8905681565,-1.10819335672227,0.240310465359949,-4.6115068482863,3.99760484871973e-06,0.000170950207346568
"ENSG00000116711",82.3786731441603,-2.24263888308827,0.487014921465175,-4.60486688239722,4.1272978477472e-06,0.00017176209993523
"ENSG00000153936",1562.17018932773,1.02339950516915,0.222428721762966,4.60102228281359,4.20422444469022e-06,0.00017176209993523
"ENSG00000162496",3813.27092421361,0.95647186549189,0.207603046140898,4.60721498682992,4.08098007805458e-06,0.00017176209993523
"ENSG00000169504",18393.0224184448,0.892198678612682,0.193962637137375,4.59984815519279,4.22799015225182e-06,0.00017176209993523
"ENSG00000230787",389.888478757981,-1.23287577842986,0.269244662274247,-4.57901660154018,4.67167122426224e-06,0.000187443598504349
"ENSG00000123689",56.6654062947503,-2.79042147187858,0.609966203838482,-4.57471488472414,4.76868944201999e-06,0.000189002935202012
"ENSG00000116991",73.6311264894133,-2.42262145081644,0.532685039695464,-4.54794347556946,5.41726799040669e-06,0.000209596678200259
"ENSG00000168542",82465.3809307583,-0.893595206155193,0.196375391683192,-4.55044391507471,5.35328551553011e-06,0.000209596678200259
"ENSG00000196604",22500.2577570346,1.02237518068582,0.225438558668641,4.53505020047859,5.7589786090539e-06,0.000220196240934414
"ENSG00000196950",925.448266137655,-1.04034045772365,0.229537137060521,-4.53234047895852,5.83337253816959e-06,0.000220447218012223
"ENSG00000143344",1234.57947168953,-1.11094696309614,0.246089660201357,-4.51439919168946,6.34965161854534e-06,0.000237199629428418
"ENSG00000138074",492.131056505378,1.13117797111895,0.252280770486139,4.48380575713002,7.33234126517133e-06,0.00027079669445235
"ENSG00000196834",15314.9202330163,1.00894342895305,0.225834051995679,4.46763196266062,7.90902228445753e-06,0.00028881261151109
"ENSG00000116194",194.294012689417,1.48623768158934,0.334600590740312,4.44182623318448,8.91985818545243e-06,0.000322105990030227
"ENSG00000128699",1822.59165159845,0.979310699150711,0.221488275045191,4.42150131401266,9.8017468277558e-06,0.000350062386705564
"ENSG00000162998",116.119672818095,1.74206969808398,0.394799695111274,4.41254063682339,1.02164611013479e-05,0.000360907593254138
"ENSG00000235750",211.964008422402,1.8452400528538,0.41954542165943,4.39818898643992,1.09157909756763e-05,0.000381465813666106
"ENSG00000137959",114.20710564866,1.7799610179055,0.405476693363842,4.38979859271049,1.13455693387149e-05,0.000389217790551405
"ENSG00000158246",77.0046252635318,2.06395481915298,0.470235457719688,4.38919436054803,1.1377135416118e-05,0.000389217790551405
"ENSG00000077157",2191.53049496592,0.972581208322004,0.222835493262782,4.36457044648212,1.27372798451707e-05,0.000431209994758382
"ENSG00000143891",523.577985290552,-1.11086945839059,0.254874986056215,-4.35848756906095,1.30964359738557e-05,0.000438798112526094
"ENSG00000130766",811.213790784325,-1.03319333072728,0.238574687363119,-4.3306913325416,1.48641924013708e-05,0.00049294515616791
"ENSG00000222038",12798.6625669045,0.987550283194084,0.228754530406855,4.31707420805028,1.58111013767389e-05,0.000519051307822238
"ENSG00000175130",648.138958002035,-1.06146807416244,0.247014716550567,-4.29718556442827,1.7298038149039e-05,0.000562186239843766
